Name,Key
360 ONE WAM LIMITED,NSE_EQ|INE466L01038
ABB INDIA LIMITED,NSE_EQ|INE117A01022
ADANI ENERGY SOLUTION LTD,NSE_EQ|INE931S01010
ADANI ENTERPRISES LIMITED,NSE_EQ|INE423A01024
ADANI GREEN ENERGY LTD,NSE_EQ|INE364U01010
ADANI PORT & SEZ LTD,NSE_EQ|INE742F01042
ADITYA BIRLA CAPITAL LTD.,NSE_EQ|INE674K01013
ALKEM LABORATORIES LTD.,NSE_EQ|INE540L01014
AMBER ENTERPRISES (I) LTD,NSE_EQ|INE371P01015
AMBUJA CEMENTS LTD,NSE_EQ|INE079A01024
ANGEL ONE LIMITED,NSE_EQ|INE732I01013
APL APOLLO TUBES LTD,NSE_EQ|INE702C01027
APOLLO HOSPITALS ENTER. L,NSE_EQ|INE437A01024
ASHOK LEYLAND LTD,NSE_EQ|INE208A01029
ASIAN PAINTS LIMITED,NSE_EQ|INE021A01026
ASTRAL LIMITED,NSE_EQ|INE006I01046
AU SMALL FINANCE BANK LTD,NSE_EQ|INE949L01017
AUROBINDO PHARMA LTD,NSE_EQ|INE406A01037
AVENUE SUPERMARTS LIMITED,NSE_EQ|INE192R01011
AXIS BANK LIMITED,NSE_EQ|INE238A01034
BAJAJ AUTO LIMITED,NSE_EQ|INE917I01010
BAJAJ FINANCE LIMITED,NSE_EQ|INE296A01032
BAJAJ FINSERV LTD.,NSE_EQ|INE918I01026
BANDHAN BANK LIMITED,NSE_EQ|INE545U01014
BANK OF BARODA,NSE_EQ|INE028A01039
BANK OF INDIA,NSE_EQ|INE084A01016
BHARAT DYNAMICS LIMITED,NSE_EQ|INE171Z01026
BHARAT ELECTRONICS LTD,NSE_EQ|INE263A01024
BHARAT FORGE LTD,NSE_EQ|INE465A01025
BHARAT PETROLEUM CORP  LT,NSE_EQ|INE029A01011
BHARTI AIRTEL LIMITED,NSE_EQ|INE397D01024
BHEL,NSE_EQ|INE257A01026
BIOCON LIMITED.,NSE_EQ|INE376G01013
BLUE STAR LIMITED,NSE_EQ|INE472A01039
BOSCH LIMITED,NSE_EQ|INE323A01026
BRITANNIA INDUSTRIES LTD,NSE_EQ|INE216A01030
BSE LIMITED,NSE_EQ|INE118H01025
CANARA BANK,NSE_EQ|INE476A01022
CENTRAL DEPO SER (I) LTD,NSE_EQ|INE736A01011
CG POWER AND IND SOL LTD,NSE_EQ|INE067A01029
CHOLAMANDALAM IN & FIN CO,NSE_EQ|INE121A01024
CIPLA LTD,NSE_EQ|INE059A01026
COAL INDIA LTD,NSE_EQ|INE522F01014
COFORGE LIMITED,NSE_EQ|INE591G01025
COLGATE PALMOLIVE LTD.,NSE_EQ|INE259A01022
COMPUTER AGE MNGT SER LTD,NSE_EQ|INE596I01012
CONTAINER CORP OF IND LTD,NSE_EQ|INE111A01025
CROMPT GREA CON ELEC LTD,NSE_EQ|INE299U01018
CUMMINS INDIA LTD,NSE_EQ|INE298A01020
CYIENT LIMITED,NSE_EQ|INE136B01020
DABUR INDIA LTD,NSE_EQ|INE016A01026
DALMIA BHARAT LIMITED,NSE_EQ|INE00R701025
DELHIVERY LIMITED,NSE_EQ|INE148O01028
DIVI S LABORATORIES LTD,NSE_EQ|INE361B01024
DIXON TECHNO (INDIA) LTD,NSE_EQ|INE935N01020
DLF LIMITED,NSE_EQ|INE271C01023
DR. REDDY S LABORATORIES,NSE_EQ|INE089A01031
EICHER MOTORS LTD,NSE_EQ|INE066A01021
ETERNAL LIMITED,NSE_EQ|INE758T01015
EXIDE INDUSTRIES LTD,NSE_EQ|INE302A01020
FEDERAL BANK LTD,NSE_EQ|INE171A01029
FORTIS HEALTHCARE LTD,NSE_EQ|INE061F01013
FSN E COMMERCE VENTURES,NSE_EQ|INE388Y01029
GAIL (INDIA) LTD,NSE_EQ|INE129A01019
GLENMARK PHARMACEUTICALS,NSE_EQ|INE935A01035
GMR AIRPORTS LIMITED,NSE_EQ|INE776C01039
GODREJ CONSUMER PRODUCTS,NSE_EQ|INE102D01028
GODREJ PROPERTIES LTD,NSE_EQ|INE484J01027
GRASIM INDUSTRIES LTD,NSE_EQ|INE047A01021
HAVELLS INDIA LIMITED,NSE_EQ|INE176B01034
HCL TECHNOLOGIES LTD,NSE_EQ|INE860A01027
HDFC AMC LIMITED,NSE_EQ|INE127D01025
HDFC BANK LTD,NSE_EQ|INE040A01034
HDFC LIFE INS CO LTD,NSE_EQ|INE795G01014
HERO MOTOCORP LIMITED,NSE_EQ|INE158A01026
HFCL LIMITED,NSE_EQ|INE548A01028
HINDALCO  INDUSTRIES  LTD,NSE_EQ|INE038A01020
HINDUSTAN AERONAUTICS LTD,NSE_EQ|INE066F01020
HINDUSTAN PETROLEUM CORP,NSE_EQ|INE094A01015
HINDUSTAN UNILEVER LTD.,NSE_EQ|INE030A01027
HINDUSTAN ZINC LIMITED,NSE_EQ|INE267A01025
HITACHI ENERGY INDIA LTD,NSE_EQ|INE07Y701011
HSG & URBAN DEV CORPN LTD,NSE_EQ|INE031A01017
ICICI BANK LTD.,NSE_EQ|INE090A01021
ICICI LOMBARD GIC LIMITED,NSE_EQ|INE765G01017
ICICI PRU LIFE INS CO LTD,NSE_EQ|INE726G01019
IDFC FIRST BANK LIMITED,NSE_EQ|INE092T01019
IIFL FINANCE LIMITED,NSE_EQ|INE530B01024
INDIAN BANK,NSE_EQ|INE562A01011
INDIAN ENERGY EXC LTD,NSE_EQ|INE022Q01020
INDIAN OIL CORP LTD,NSE_EQ|INE242A01010
INDIAN RAIL TOUR CORP LTD,NSE_EQ|INE335Y01020
INDIAN RAILWAY FIN CORP L,NSE_EQ|INE053F01010
INDIAN RENEWABLE ENERGY,NSE_EQ|INE202E01016
INDRAPRASTHA GAS LTD,NSE_EQ|INE203G01027
INDUS TOWERS LIMITED,NSE_EQ|INE121J01017
INDUSIND BANK LIMITED,NSE_EQ|INE095A01012
INFO EDGE (I) LTD,NSE_EQ|INE663F01032
INFOSYS LIMITED,NSE_EQ|INE009A01021
INOX WIND LIMITED,NSE_EQ|INE066P01011
INTERGLOBE AVIATION LTD,NSE_EQ|INE646L01027
ITC LTD,NSE_EQ|INE154A01025
JINDAL STEEL LIMITED,NSE_EQ|INE749A01030
JIO FIN SERVICES LTD,NSE_EQ|INE758E01017
JSW ENERGY LIMITED,NSE_EQ|INE121E01018
JSW STEEL LIMITED,NSE_EQ|INE019A01038
JUBILANT FOODWORKS LTD,NSE_EQ|INE797F01020
KALYAN JEWELLERS IND LTD,NSE_EQ|INE303R01014
KAYNES TECHNOLOGY IND LTD,NSE_EQ|INE918Z01012
KEI INDUSTRIES LTD.,NSE_EQ|INE878B01027
KFIN TECHNOLOGIES LIMITED,NSE_EQ|INE138Y01010
KOTAK MAHINDRA BANK LTD,NSE_EQ|INE237A01028
KPIT TECHNOLOGIES LIMITED,NSE_EQ|INE04I401011
L&T FINANCE LIMITED,NSE_EQ|INE498L01015
LARSEN & TOUBRO LTD.,NSE_EQ|INE018A01030
LAURUS LABS LIMITED,NSE_EQ|INE947Q01028
LIC HOUSING FINANCE LTD,NSE_EQ|INE115A01026
LIFE INSURA CORP OF INDIA,NSE_EQ|INE0J1Y01017
LODHA DEVELOPERS LIMITED,NSE_EQ|INE670K01029
LTIMINDTREE LIMITED,NSE_EQ|INE214T01019
LUPIN LIMITED,NSE_EQ|INE326A01037
MAHINDRA & MAHINDRA LTD,NSE_EQ|INE101A01026
MANAPPURAM FINANCE LTD,NSE_EQ|INE522D01027
MANKIND PHARMA LIMITED,NSE_EQ|INE634S01028
MARICO LIMITED,NSE_EQ|INE196A01026
MARUTI SUZUKI INDIA LTD.,NSE_EQ|INE585B01010
MAX FINANCIAL SERV LTD,NSE_EQ|INE180A01020
